artist	date	venue	notes
Deastro	11/10/2009	Great Scott, Boston	Had to leave early to make the T
Death Cab for Cutie	8/2/2011	Williamsburg Waterfront	Got becks the setlist
Death Cab for Cutie	4/21/2012	Wang Theater, Boston	
Death Cab for Cutie	7/22/2012	Firefly Music Festival	
Death Cab for Cutie	1/28/2015	Music Hall of Williamsburg	With Becks front row!
Deerhunter	8/2/2009	Brooklyn Bowl	First Set
Deerhunter	7/17/2011	Pitchfork Fest 2011, Chicago	
Deerhunter	6/9/2013	Governor's Ball, Randall's Island NYC	
Delicate Steve	6/1/2012	Terminal 5	
Delorean	8/29/2013	House of Vans	
Desert Dwellers	4/4/2014	Irving Plaza	
Destroyer	7/16/2011	Pitchfork Fest 2011, Chicago	
Digital Tape Machine	7/29/2011	Big Up 2	
Digital Tape Machine	7/11/2013	Camp Bisco 12	
Dillion Francis	7/9/2011	Camp Bisco 10	
Dirty Projectors	7/10/2012	Prospect Park Bandshell	Listened from behind the fence
Dirty Projectors	6/8/2013	Governor's Ball, Randall's Island NYC	
Dirtyphonics Live	7/14/2013	Camp Bisco 12	
Disco Biscuits	07/16/2009	Camp Bisco 8	
Disco Biscuits	07/17/2009	Camp Bisco 8	
Disco Biscuits	07/18/2009	Camp Bisco 8	
Disco Biscuits	7/8/2011	Camp Bisco 10	
Disco Biscuits	7/11/2013	Camp Bisco 12	
Disco Biscuits	7/12/2013	Camp Bisco 12	
Disco Biscuits	7/12/2013	Camp Bisco 12	
Disco Biscuits	7/18/2015	Camp Bisco 13	
DJ Numark	7/16/2010	The Shelter, Shanghai	DMC China Afterparty, went with Shawn Li
DJ Shadow	7/16/2011	Pitchfork Fest 2011, Chicago	
Django Django	10/2/2012	Bowery Ballroom	
Dopapod	8/8/2013	The Big Up, Claverack, NY	
Dr. Dog	07/17/2009	Camp Bisco 8	
Drake	6/5/2015	Governor's Ball	
Ducktails 	1/28/2012	K&K Super Buffet, Ridgewood NY	
Ducktails 	7/3/2011	Music Hall of Williamsburg	
Dustin Wong	7/7/2012	285 Kent Ave	Nick Meyers Celebration
Eagulls	10/16/2013	Glasslands	
Easy Star All-Stars	7/8/2011	Camp Bisco 10	
Easy Star All-Stars	5/7/2010	Wescott Theatre, Syracuse	Disco Biscuits After-Party; was with Powers, Melissa and Matt O'Bryan
Edward Sharpe	6/8/2013	Governor's Ball, Randall's Island NYC	
Elephant Six Orchestra	3/23/2011	Le Poisson Rouge	
Elf Power	4/29/2006	Hamilton College	
Elf Power	10/7/2008	The Bug Jar, Rochester	
Emancipator	10/23/2014	Best Buy Theater	Creature Carnival
EOTO	7/30/2011	Big Up 2	
EOTO	4/20/2012	Roseland Ballroom	
EOTO	9/7/2012	Catskill Chill, Hancock NY	
Escort	8/9/2013	The Big Up, Claverack, NY	
Eskmo	8/10/2013	The Big Up, Claverack, NY	
Exmag	7/18/2015	Camp Bisco 13	
Explosions in the Sky	4/6/2011	Radio City Music Hall	Met Dave from NJ with a bad back
Explosions in the Sky 	2/14/2012	NYU Kimmel Center	
FKA Twigs 	5/17/2015	Brooklyn Hangar, Sunset Park, NY 	Congregata with Omar and Jason Collado 
Flaming Lips	7/11/2014	Saugerties, NY	Hudson Music Project
Fleet Foxes	7/16/2011	Pitchfork Fest 2011, Chicago	
Flobots	11/7/2008	Hamilton College	
Florence and the Machine	8/3/2012	Osheaga, Montreal, Quebec	
Flume	10/17/2012	The Cake Shop	CMJ
Flying Lotus	07/16/2009	Camp Bisco 8	
Foster the People	6/8/2014	Governor's Ball	
Four Tet	7/8/2011	Camp Bisco 10	
Fourtet	7/12/2014	Saugerties, NY	Hudson Music Project
Foxygen	5/14/2013	Knitting Factory	
Franz Ferdinand	8/3/2012	Osheaga, Montreal, Quebec	
Freelance Whales	8/3/2012	Osheaga, Montreal, Quebec	
Frightened Rabbit	8/2/2011	Williamsburg Waterfront	
Gable	6/11/2010	B-Sides Fest, Luzern	
Gala Drop	9/11/2010	Governor's Island	Second opener Panda Bear
Gang Gang Dance	7/16/2011	Pitchfork Fest 2011, Chicago	
Gary Clark Jr	8/3/2012	Osheaga, Montreal, Quebec	
Gatekeeper	7/23/2011	285 Kent Ave	
